BITACORA_BACKUP_V1
id,plataforma,asunto,descripcion,fecha,inicio,fin,etapa,personal,locacion,impacto,riesgo,estado,comentarios,creado
"MS-008","TDT LIMA","Desarmado y desmontaje de sistema de bombas y enfriamiento","Traslado para venta de carga en desuso y chatarra","2026-03-12","10:00","12:00","[""Planta""]","[]","Planta TDT Bethel","Ninguno","Bajo","FIN","[{""fecha"":""12/03/2026"",""texto"":""Se llevó a vender parte de la carga en desuso desde el Morro Solar""}]","1773273612000"
"MS-007","TDT LIMA","Desarmado y desmontaje de sistema de bombas y enfriamiento","Traslado para venta de carga en desuso y chatarra","2026-03-11","10:00","12:00","[""Planta""]","[]","Planta TDT Bethel","Ninguno","Bajo","FIN","[{""fecha"":""11/03/2026"",""texto"":""Se llevó a vender parte de la carga en desuso desde el Morro Solar""}]","1773187211000"
"MS-006","TDT LIMA","Desarmado y desmontaje de sistema de bombas y enfriamiento","Traslado para venta de carga en desuso y chatarra","2026-03-10","10:00","12:00","[""Planta""]","[]","Planta TDT Bethel","Ninguno","Bajo","FIN","[{""fecha"":""10/03/2026"",""texto"":""Se llevó a vender parte de la carga en desuso desde el Morro Solar""}]","1773100810000"
"MS-005","TDT LIMA","Desarmado y desmontaje de UPS","Desarmado del UPS antiguo, (cableado y transformadores y gabinetes)","2026-03-05","10:00","17:00","[""Planta""]","[]","Planta TDT Bethel","Ninguno","Bajo","FIN","[{""fecha"":""05/03/2026"",""texto"":""Desmontaje de las llaves de fuerza, cableado, ventiladores, transformadores y desarmado de los gabinetes y  chasis. Avance: 70%\nTraslado de Carga Morro - Santa Beatriz""}]","1772668809000"
"PV-005","660 AM","Cambio de Bomba Sumergible","Trabajo Externo: Cesar Senisse
Desmontaje de bomba deteriorada e instalacion la nueva bomba","2026-03-05","14:00","18:00","[""Planta""]","[]","Humedal Pantanos de Villa - Prohvilla","Ninguno","Bajo","FIN","[{""fecha"":""05/03/2026"",""texto"":""Se realizó el cambio de la bomba sumergible y las pruebas de funcionaminto""}]","1772668808000"
"MS-004","TDT LIMA","Desarmado y desmontaje de sistema de enfriamiento
intercambador de calor","Desarmado del primer intercambiador de calor en desuso","2026-03-04","10:00","17:00","[""Planta""]","[]","Planta TDT Bethel","Ninguno","Bajo","FIN","[{""fecha"":""04/03/2026"",""texto"":""Desmontaje de los ventiladores y desarmado del chasis Avance: 50%""}]","1772582407000"
"MS-003","TDT LIMA","Limpieza y pruebas de UPS de procesadores","apagado del rack de procesadores, desarmado de UPS, limpieza, reinstalacion y pruebas de operación","2026-02-27","","04:00","[""Cabecera"",""Planta""]","[]","Planta TDT Bethel","Corte programado de transmisión
(15 minutos)","Medio","FIN","[{""fecha"":""27/02/2026"",""texto"":""El UPS quedó operativo y sin alarma""}]","1772150406000"
"MS-002","TDT LIMA","Instalación y reemplazo de fuente de alimentación NETCCU","Requiere conexión eléctrica, pruebas y puesta en servicio de la nueva fuente de alimentación. Requiere apagado y encendido controlado de equipos.","2026-02-27","","04:00","[""Transmisión"",""Planta""]","[]","Planta TDT Bethel","Corte programado de transmisión
(2 horas)","Alto","FIN","[{""fecha"":""27/02/2026"",""texto"":""Apagado del transmisor, se desmontó la unidad de control, se armó el cable para la nueva fuente, se llevo la unidad al taller en SB para poder montar la nueva fuente en la caja y se traslado al morro para su reinstalación y pruebas""}]","1772150405000"
"MS-001","TDT LIMA","Desarmado y desmontaje de sistema de bombas","Trabajos de desmontaje del sistema de bombas existente","2026-02-26","10:00","17:00","[""Planta""]","[]","Planta TDT Bethel","Ninguno","Medio","FIN","[{""fecha"":""26/02/2026"",""texto"":""Se realizó el drenaje de todo el liquido refrigerante acumulado dentro de las mangueras, demontaje del tablero electrico y desarmado de las llaves y accesorios""}]","1772064004000"
"PV-004","760 AM","Instalacion PC en Planta (Canto Grande)","Instalación del PC para recepción de señal local desde Canto Grande","2026-01-26","09:00","16:00","[""Transmisión""]","[]","760AM Bethel","Corte de transmisión de la 760AM
(10 minutos)","Alto","FIN","[{""fecha"":""26/01/2026"",""texto"":""se dejó instalada la PC y el software de recepción, sin embargo el nivel de audio esta por mejorar""}]","1769385603000"
"PV-003","660 AM","Reparación del Transmisor Continental 660AM","Trabajo Externo: Ing Zuñiga
Cambio de Contactor y reparación","2026-01-14","","","[""Transmisión"",""Planta""]","[]","Humedal Pantanos de Villa - Prohvilla","Al aire nuevamente","Alto","FIN","[{""fecha"":""14/01/2026"",""texto"":""Se realizó el cambio de contactor y se sacó al aire, aunque con menos potencia""}]","1768348802000"
"PV-002","660 AM","Diagnostico de Transmisor Continental 660AM","Trabajo Externo: Ing Zuñiga
Diagnostico General del Transmisor","2026-01-09","10:00","14:00","[""Transmisión"",""Planta""]","[]","Humedal Pantanos de Villa - Prohvilla","Corte de transmision indefinido","Alto","FIN","[{""fecha"":""09/01/2026"",""texto"":""Se realizó las pruebas y mediciones de fase y se detectó la caida de una fase de tension y la averia de uno de los contactores de potencia""}]","1767916801000"
"PV-001","660 AM","Corte de señal 660AM","Verificación y descarte del origen del corte de energia electrica en la planta","2026-01-07","09:30","14:30","[""Transmisión"",""Planta""]","[]","Humedal Pantanos de Villa - Prohvilla","Corte de transmision indefinido","Medio","FIN","[{""fecha"":""07/01/2026"",""texto"":""Sonidos en el estabilizador  y posible averia del transmisor""}]","1767744000000"
###CONFIG_JSON###
"{""bloques"":[{""id"":""b1"",""nombre"":""Coordinación"",""to"":[""""],""cc"":[""""]}],""modelos"":[{""id"":""m1"",""nombre"":""Trabajos programados"",""bloqueId"":""b1"",""asunto"":""[{plataforma}] Trabajos programados — {fecha}"",""cuerpo"":""Dios les bendiga,\n\nPor medio de la presente informo que, como parte de los trabajos programados en {plataforma}, el equipo técnico estará realizando labores en el siguiente horario: {fecha}, {horario}.\n\nAgradeceré considerar las horas extras correspondientes, así como tener en cuenta esta programación en la asistencia del personal para el día siguiente.\n\nPersonal involucrado:\n{personal}\n\nAgradeceré tomar conocimiento de esta programación.\n\nGracias.\n{firma}""}],""firma"":""""}"
